Tarih;Şimdi;Acilis;Yüksek;Düşük;Fark %
143;3,045;2,98;3,063;2,9675;2,26%
142;2,9777;3,0199;3,0199;2,9235;-1,39%
141;3,0198;2,8774;3,0486;2,8765;4,92%
140;2,8782;2,899;2,905;2,8761;-0,74%
139;2,8998;2,8855;2,9089;2,8849;0,44%
138;2,887;2,9045;2,9065;2,8815;-0,60%
137;2,9045;2,8914;2,908;2,887;0,46%
136;2,8913;2,9378;2,941;2,8862;-1,55%
135;2,9367;2,9371;2,9431;2,9225;-0,01%
134;2,9371;2,9297;2,956;2,9235;0,27%
133;2,9293;2,9068;2,9354;2,9015;0,78%
132;2,9066;2,9029;2,9093;2,8805;0,16%
131;2,9019;2,8766;2,9042;2,8697;0,84%
130;2,8777;2,8918;2,9064;2,8689;-0,40%
129;2,8892;2,9038;2,9105;2,8833;-0,52%
128;2,9043;2,939;2,9415;2,8873;-1,25%
127;2,941;2,9285;2,9538;2,9218;0,40%
126;2,9293;2,8523;3,0057;2,8403;2,61%
125;2,8548;2,8956;2,8986;2,8527;-1,34%
124;2,8936;2,9106;2,919;2,8901;-0,55%
123;2,9097;2,9061;2,916;2,892;0,12%
122;2,9062;2,9316;2,9316;2,896;-0,71%
121;2,9271;2,9324;2,9381;2,9242;-0,13%
120;2,931;2,925;2,96;2,921;0,21%
119;2,925;2,937;2,9405;2,916;-0,34%
118;2,935;2,9198;2,942;2,9132;0,53%
117;2,9196;2,9293;2,935;2,9085;-0,32%
116;2,9291;2,8922;2,9398;2,8922;1,29%
115;2,8919;2,8914;2,9026;2,8858;-0,04%
114;2,8931;2,8966;2,9013;2,879;-0,14%
113;2,8971;2,9044;2,9125;2,8915;-0,23%
112;2,9039;2,9112;2,9172;2,9023;0,04%
111;2,9028;2,9488;2,9538;2,9009;-1,56%
110;2,9488;2,9421;2,9546;2,9336;0,23%
109;2,9419;2,9499;2,9585;2,9324;-0,26%
108;2,9495;2,955;2,9604;2,9425;-0,22%
107;2,956;2,9575;2,97;2,9477;-0,05%
106;2,9575;2,9341;2,9639;2,933;0,78%
105;2,9346;2,9373;2,948;2,924;-0,07%
104;2,9368;2,9435;2,955;2,929;-0,26%
103;2,9445;2,9962;3,0145;2,9405;-1,69%
102;2,9952;2,977;2,9985;2,9729;0,64%
101;2,9762;2,985;2,9915;2,967;-0,36%
100;2,987;2,9905;3,004;2,982;-0,11%
99;2,9902;2,9631;2,9942;2,96;0,89%
98;2,9637;2,9762;2,9774;2,957;-0,44%
97;2,9767;2,967;2,9878;2,9588;0,22%
96;2,9702;2,9605;2,9755;2,951;0,27%
95;2,9623;2,9545;2,967;2,9398;0,33%
94;2,9527;2,9502;2,976;2,94;0,04%
93;2,9516;2,944;2,9581;2,9291;0,23%
92;2,9449;2,9276;2,9503;2,911;0,60%
91;2,9273;2,9226;2,9436;2,908;0,11%
90;2,9242;2,9623;2,9623;2,8937;-1,29%
89;2,9625;2,8508;2,9788;2,8438;3,98%
88;2,8491;2,8047;2,8518;2,7885;1,58%
87;2,8049;2,7954;2,8077;2,7879;0,34%
86;2,7955;2,8125;2,815;2,788;-0,62%
85;2,8129;2,8174;2,8349;2,802;-0,21%
84;2,8189;2,8193;2,8405;2,812;-0,07%
83;2,8208;2,843;2,8491;2,813;-0,82%
82;2,844;2,8434;2,8535;2,839;-0,17%
81;2,8489;2,8307;2,854;2,8215;0,56%
80;2,8331;2,8135;2,8363;2,807;0,68%
79;2,814;2,8297;2,842;2,804;-0,61%
78;2,8312;2,8383;2,843;2,821;-0,30%
77;2,8398;2,8515;2,8661;2,834;-0,51%
76;2,8545;2,8489;2,8635;2,8459;0,16%
75;2,8499;2,8452;2,872;2,841;0,11%
74;2,8467;2,8339;2,859;2,83;0,40%
73;2,8354;2,8316;2,849;2,817;0,08%
72;2,8331;2,8471;2,8541;2,816;-0,56%
71;2,8491;2,8603;2,8716;2,841;-0,44%
70;2,8618;2,8397;2,865;2,8235;0,75%
69;2,8406;2,8309;2,859;2,821;0,29%
68;2,8324;2,811;2,838;2,807;0,70%
67;2,8128;2,822;2,8291;2,802;-0,33%
66;2,8221;2,8155;2,837;2,8118;0,18%
65;2,817;2,8344;2,8425;2,811;-0,67%
64;2,8359;2,8363;2,849;2,822;-0,06%
63;2,8377;2,8673;2,877;2,833;-1,08%
62;2,8688;2,8709;2,88;2,863;-0,26%
61;2,8763;2,8713;2,883;2,8645;0,14%
60;2,8724;2,8749;2,891;2,8687;-0,18%
59;2,8775;2,8647;2,8829;2,861;0,37%
58;2,8668;2,8607;2,8851;2,8545;0,29%
57;2,8585;2,8611;2,8815;2,8525;-0,32%
56;2,8676;2,8388;2,8694;2,837;0,91%
55;2,8417;2,8669;2,874;2,837;-0,93%
54;2,8684;2,8971;2,931;2,862;-1,04%
53;2,8986;2,8696;2,912;2,865;0,98%
52;2,8704;2,8675;2,888;2,861;0,12%
51;2,867;2,89;2,898;2,8621;-0,85%
50;2,8915;2,8913;2,91;2,8715;0,03%
49;2,8907;2,9135;2,9212;2,884;-0,81%
48;2,9144;2,9136;2,9306;2,9051;-0,05%
47;2,916;2,9073;2,9326;2,9023;0,27%
46;2,9082;2,907;2,9278;2,899;-0,02%
45;2,9088;2,9239;2,9347;2,904;-0,56%
44;2,9253;2,9354;2,9481;2,922;-0,37%
43;2,9361;2,963;2,9682;2,9275;-0,99%
42;2,9654;2,9953;2,9963;2,951;-0,91%
41;2,9925;2,927;3,0015;2,9175;2,20%
40;2,928;2,9348;2,9428;2,916;-0,28%
39;2,9363;2,9427;2,955;2,931;-0,25%
38;2,9437;2,9358;2,947;2,926;0,24%
37;2,9367;2,9522;2,9577;2,929;-0,50%
36;2,9516;2,9676;2,9758;2,947;-0,64%
35;2,9705;2,9553;2,9752;2,947;0,49%
34;2,9561;2,9744;2,9843;2,94;-0,72%
33;2,9774;2,9446;2,9818;2,94;1,06%
32;2,9461;2,9293;2,956;2,9237;0,57%
31;2,9295;2,928;2,9398;2,915;-0,05%
30;2,931;2,9203;2,947;2,914;0,31%
